theta,N,alpha,beta,mean_value,sd_value,mean_stopping_time,sd_stopping_time,mean_stopping_fraction,sd_stopping_fraction,upper_bound_time,upper_bound_fraction,relative_gap,early_stop_prob,n_success
0.05,50000,0.05,0.95,0.9503377327488962,0.0002864279537110599,13835.676,2212.7194430590116,0.27671352,0.04425438886118023,14712.01809160229,0.29424036183204577,0.059566409322356025,1.0,500
0.05,50000,0.05,0.99,0.9900861923103905,7.269526781229672e-05,16057.706,2298.9506239819534,0.32115412,0.04597901247963908,17759.75301713602,0.3551950603427204,0.09583731347467227,1.0,500
0.1,1000,0.01,0.8,0.9826820480413088,0.4309856099854785,796.188,154.7221203482233,0.796188,0.1547221203482233,1001.7997937110534,1.0017997937110534,0.20524239973077646,0.816,500
0.1,1000,0.01,0.9,1.09620464649425,0.4044818509229599,836.744,143.7488013856102,0.836744,0.14374880138561022,1140.9179797935055,1.1409179797935056,0.26660459838537903,0.772,500
0.1,1000,0.01,0.95,1.1375054507103148,0.40851962419151827,866.72,124.80605234283635,0.86672,0.12480605234283634,1255.8041790615127,1.2558041790615126,0.3098287022362698,0.792,500
0.1,1000,0.01,0.99,1.1671600483056095,0.4085397371434764,899.114,100.4893886859551,0.8991140000000001,0.10048938868595503,1471.3115823719108,1.4713115823719107,0.38890306392441176,0.782,500
0.1,1000,0.05,0.8,0.8289750899286491,0.1206071978931789,655.826,186.9823427948053,0.655826,0.18698234279480533,786.2923904006553,0.7862923904006553,0.16592604989369944,0.942,500
0.1,1000,0.05,0.9,0.9318253787355809,0.13432403796098,720.272,167.21038437035713,0.720272,0.16721038437035707,925.4105764831074,0.9254105764831074,0.22167304080606867,0.924,500
0.1,1000,0.05,0.95,0.9775174547885035,0.11133904860571081,759.662,150.2280822929549,0.7596620000000001,0.15022808229295492,1040.2967757511149,1.0402967757511148,0.2697641502815299,0.916,500
0.1,1000,0.05,0.99,1.0033021303470493,0.14067724240606116,806.574,130.33058215664727,0.8065739999999999,0.13033058215664722,1255.8041790615127,1.2558041790615126,0.35772311205177815,0.926,500
0.1,5000,0.01,0.8,0.8030660931594245,0.002644860408862585,2117.802,429.4893257787856,0.4235604,0.08589786515575716,2240.092438583182,0.4480184877166363,0.054591692948407135,1.0,500
0.1,5000,0.01,0.9,0.902054325818916,0.0017320862825937467,2311.65,467.5228451332009,0.46232999999999996,0.09350456902664016,2551.1701595700097,0.510234031914002,0.09388639118073576,1.0,500
0.1,5000,0.01,0.95,0.9513105627016084,0.0011209764207976885,2489.518,428.7264236885074,0.4979036,0.08574528473770145,2808.0635108098604,0.5616127021619721,0.11343956772473082,1.0,500
