theta,N,alpha,beta,seq_power,seq_stopping_time,std_power,std_stopping_time,seq_value_early_stop,seq_early_stop_prob,seq_stop_at_N_and_reject,power_diff,power_diff_up
0.1,50000,0.01,0.8,0.804,6910.482,1.0,50000.0,0.8007893440905242,1.0,0.0,0.19599999999999995,0.19999999999999996
0.1,50000,0.01,0.9,0.91,7876.904,1.0,50000.0,0.9005090598238121,1.0,0.0,0.08999999999999997,0.09999999999999998
0.1,50000,0.01,0.95,0.962,8553.968,1.0,50000.0,0.9503066747573589,1.0,0.0,0.038000000000000034,0.050000000000000044
0.1,50000,0.01,0.99,0.984,9892.392,1.0,50000.0,0.9900796778819853,1.0,0.0,0.016000000000000014,0.010000000000000009
0.1,50000,0.05,0.8,0.784,5392.8,1.0,50000.0,0.8008016406135736,1.0,0.0,0.21599999999999997,0.19999999999999996
0.1,50000,0.05,0.9,0.92,6378.268,1.0,50000.0,0.9005006797228801,1.0,0.0,0.07999999999999996,0.09999999999999998
0.1,50000,0.05,0.95,0.968,7052.988,1.0,50000.0,0.950302674755913,1.0,0.0,0.03200000000000003,0.050000000000000044
0.1,50000,0.05,0.99,0.994,8397.272,1.0,50000.0,0.9900775045565781,1.0,0.0,0.006000000000000005,0.010000000000000009
0.5,1000,0.01,0.8,0.78,199.242,1.0,1000.0,0.807068624073735,1.0,0.0,0.21999999999999997,0.19999999999999996
0.5,1000,0.01,0.9,0.916,222.238,1.0,1000.0,0.9046290051834757,1.0,0.0,0.08399999999999996,0.09999999999999998
0.5,1000,0.01,0.95,0.968,239.168,1.0,1000.0,0.9527777907378489,1.0,0.0,0.03200000000000003,0.050000000000000044
0.5,1000,0.01,0.99,0.986,273.254,1.0,1000.0,0.9907094135173142,1.0,0.0,0.014000000000000012,0.010000000000000009
0.5,1000,0.05,0.8,0.826,155.74,1.0,1000.0,0.8069468876637423,1.0,0.0,0.17400000000000004,0.19999999999999996
0.5,1000,0.05,0.9,0.92,178.84,1.0,1000.0,0.9042318134052533,1.0,0.0,0.07999999999999996,0.09999999999999998
0.5,1000,0.05,0.95,0.976,197.364,1.0,1000.0,0.9525881604800511,1.0,0.0,0.02400000000000002,0.050000000000000044
0.5,1000,0.05,0.99,0.992,235.978,1.0,1000.0,0.9907111209643095,1.0,0.0,0.008000000000000007,0.010000000000000009
0.5,5000,0.01,0.8,0.774,444.394,1.0,5000.0,0.8031759209681723,1.0,0.0,0.22599999999999998,0.19999999999999996
0.5,5000,0.01,0.9,0.926,502.122,1.0,5000.0,0.9016828104739689,1.0,0.0,0.07399999999999995,0.09999999999999998
0.5,5000,0.01,0.95,0.95,551.094,1.0,5000.0,0.9510315349099153,1.0,0.0,0.050000000000000044,0.050000000000000044
0.5,5000,0.01,0.99,0.996,637.64,1.0,5000.0,0.990278790221832,1.0,0.0,0.0040000000000000036,0.010000000000000009
0.5,5000,0.05,0.8,0.812,349.964,1.0,5000.0,0.8029776983197434,1.0,0.0,0.18799999999999994,0.19999999999999996
0.5,5000,0.05,0.9,0.924,407.35,1.0,5000.0,0.9018641713399368,1.0,0.0,0.07599999999999996,0.09999999999999998
0.5,5000,0.05,0.95,0.95,455.76,1.0,5000.0,0.9511168802996814,1.0,0.0,0.050000000000000044,0.050000000000000044
0.5,5000,0.05,0.99,0.99,544.896,1.0,5000.0,0.9902787453308017,1.0,0.0,0.010000000000000009,0.010000000000000009
0.5,10000,0.01,0.8,0.768,630.586,1.0,10000.0,0.8021635943524843,1.0,0.0,0.23199999999999998,0.19999999999999996
0.5,10000,0.01,0.9,0.898,712.116,1.0,10000.0,0.9013845861989472,1.0,0.0,0.10199999999999998,0.09999999999999998
0.5,10000,0.01,0.95,0.958,782.55,1.0,10000.0,0.9507271774423203,1.0,0.0,0.04200000000000004,0.050000000000000044
0.5,10000,0.01,0.99,0.99,908.2,1.0,10000.0,0.9901933697861203,1.0,0.0,0.010000000000000009,0.010000000000000009
0.5,10000,0.05,0.8,0.794,495.378,1.0,10000.0,0.8021855177709033,1.0,0.0,0.20599999999999996,0.19999999999999996
0.5,10000,0.05,0.9,0.892,579.8,1.0,10000.0,0.9012739417872004,1.0,0.0,0.10799999999999998,0.09999999999999998
0.5,10000,0.05,0.95,0.934,649.392,1.0,10000.0,0.9507171907875084,1.0,0.0,0.06599999999999995,0.050000000000000044
0.5,10000,0.05,0.99,0.994,776.372,1.0,10000.0,0.990201845103459,1.0,0.0,0.006000000000000005,0.010000000000000009
0.5,50000,0.01,0.8,0.792,1410.916,1.0,50000.0,0.8009299073634388,1.0,0.0,0.20799999999999996,0.19999999999999996
0.5,50000,0.01,0.9,0.888,1601.616,1.0,50000.0,0.9005686462357483,1.0,0.0,0.11199999999999999,0.09999999999999998
0.5,50000,0.01,0.95,0.954,1761.23,1.0,50000.0,0.9503623261297887,1.0,0.0,0.04600000000000004,0.050000000000000044
0.5,50000,0.01,0.99,0.998,2062.034,1.0,50000.0,0.9900892802229208,1.0,0.0,0.0020000000000000018,0.010000000000000009
0.5,50000,0.05,0.8,0.808,1106.064,1.0,50000.0,0.8009432748794086,1.0,0.0,0.19199999999999995,0.19999999999999996
0.5,50000,0.05,0.9,0.884,1301.332,1.0,50000.0,0.9005288707302388,1.0,0.0,0.11599999999999999,0.09999999999999998
0.5,50000,0.05,0.95,0.964,1465.93,1.0,50000.0,0.9503467689988547,1.0,0.0,0.03600000000000003,0.050000000000000044
0.5,50000,0.05,0.99,0.994,1759.306,1.0,50000.0,0.9900821073979478,1.0,0.0,0.006000000000000005,0.010000000000000009
1.0,1000,0.01,0.8,0.832,99.98,1.0,1000.0,0.8083475766946501,1.0,0.0,0.16800000000000004,0.19999999999999996
1.0,1000,0.01,0.9,0.896,112.836,1.0,1000.0,0.9051604437148938,1.0,0.0,0.10399999999999998,0.09999999999999998
1.0,1000,0.01,0.95,0.942,122.688,1.0,1000.0,0.9529626340920495,1.0,0.0,0.05800000000000005,0.050000000000000044
1.0,1000,0.01,0.99,0.988,143.214,1.0,1000.0,0.9907429182752593,1.0,0.0,0.01200000000000001,0.010000000000000009
1.0,1000,0.05,0.8,0.814,78.292,1.0,1000.0,0.8080810915239756,1.0,0.0,0.18600000000000005,0.19999999999999996
1.0,1000,0.05,0.9,0.898,91.746,1.0,1000.0,0.905125118397603,1.0,0.0,0.10199999999999998,0.09999999999999998
1.0,1000,0.05,0.95,0.932,101.998,1.0,1000.0,0.9527839702344133,1.0,0.0,0.06799999999999995,0.050000000000000044
1.0,1000,0.05,0.99,0.98,122.464,1.0,1000.0,0.9907632688065104,1.0,0.0,0.020000000000000018,0.010000000000000009
1.0,5000,0.01,0.8,0.802,224.264,1.0,5000.0,0.8037978601847533,1.0,0.0,0.19799999999999995,0.19999999999999996
1.0,5000,0.01,0.9,0.928,252.414,1.0,5000.0,0.9021731022645747,1.0,0.0,0.07199999999999995,0.09999999999999998
1.0,5000,0.01,0.95,0.954,279.022,1.0,5000.0,0.9513412342595068,1.0,0.0,0.04600000000000004,0.050000000000000044
1.0,5000,0.01,0.99,0.992,325.154,1.0,5000.0,0.9903335592271398,1.0,0.0,0.008000000000000007,0.010000000000000009
1.0,5000,0.05,0.8,0.808,175.768,1.0,5000.0,0.8034442024381084,1.0,0.0,0.19199999999999995,0.19999999999999996
1.0,5000,0.05,0.9,0.896,205.81,1.0,5000.0,0.9022322463638577,1.0,0.0,0.10399999999999998,0.09999999999999998
1.0,5000,0.05,0.95,0.948,230.96,1.0,5000.0,0.9512641296718548,1.0,0.0,0.052000000000000046,0.050000000000000044
1.0,5000,0.05,0.99,0.992,279.288,1.0,5000.0,0.9903402385630188,1.0,0.0,0.008000000000000007,0.010000000000000009
1.0,10000,0.01,0.8,0.798,316.454,1.0,10000.0,0.8024447671091601,1.0,0.0,0.20199999999999996,0.19999999999999996
1.0,10000,0.01,0.9,0.906,360.066,1.0,10000.0,0.9016080540667866,1.0,0.0,0.09399999999999997,0.09999999999999998
1.0,10000,0.01,0.95,0.944,395.104,1.0,10000.0,0.9509059801627274,1.0,0.0,0.05600000000000005,0.050000000000000044
1.0,10000,0.01,0.99,0.992,459.584,1.0,10000.0,0.990235874686624,1.0,0.0,0.008000000000000007,0.010000000000000009
1.0,10000,0.05,0.8,0.808,249.118,1.0,10000.0,0.802396117083677,1.0,0.0,0.19199999999999995,0.19999999999999996
1.0,10000,0.05,0.9,0.912,290.512,1.0,10000.0,0.9015283454469399,1.0,0.0,0.08799999999999997,0.09999999999999998
1.0,10000,0.05,0.95,0.95,326.586,1.0,10000.0,0.9509289316615491,1.0,0.0,0.050000000000000044,0.050000000000000044
1.0,10000,0.05,0.99,0.992,392.634,1.0,10000.0,0.9902478344497265,1.0,0.0,0.008000000000000007,0.010000000000000009
1.0,50000,0.01,0.8,0.81,705.922,1.0,50000.0,0.8010284862785015,1.0,0.0,0.18999999999999995,0.19999999999999996
1.0,50000,0.01,0.9,0.896,804.066,1.0,50000.0,0.9006935784188004,1.0,0.0,0.10399999999999998,0.09999999999999998
1.0,50000,0.01,0.95,0.964,886.232,1.0,50000.0,0.9504243958235513,1.0,0.0,0.03600000000000003,0.050000000000000044
1.0,50000,0.01,0.99,0.992,1036.518,1.0,50000.0,0.9900996853000313,1.0,0.0,0.008000000000000007,0.010000000000000009
1.0,50000,0.05,0.8,0.806,555.832,1.0,50000.0,0.801042816538197,1.0,0.0,0.19399999999999995,0.19999999999999996
1.0,50000,0.05,0.9,0.9,652.514,1.0,50000.0,0.9006955792552198,1.0,0.0,0.09999999999999998,0.09999999999999998
1.0,50000,0.05,0.95,0.962,733.254,1.0,50000.0,0.9504069215933822,1.0,0.0,0.038000000000000034,0.050000000000000044
1.0,50000,0.05,0.99,0.992,884.602,1.0,50000.0,0.9901119517453233,1.0,0.0,0.008000000000000007,0.010000000000000009
