theta,N,alpha,lambda,psi,mean_theta_hat,sd_theta_hat,mean_b_hat,sd_b_hat,power,sd_outer_power,mean_seq_stopping_time,mean_total_stopping_time,mean_total_stopping_fraction,early_stop_prob,n_outer_success,n_inner_success
0.05,1000,0.05,0.75,0.75,0.050314708232299485,0.036970541457870376,0.03168979211078027,0.012547288481263496,0.053,0.07170273750095084,5.3354,755.3354,0.7553354000000001,0.9896,500,5000
0.05,1000,0.05,0.75,0.9,0.05022572588008206,0.03572075494679319,0.013435401389569583,0.028235533989169587,0.051800000000000006,0.07146309500641422,4.496,904.496,0.904496,0.9723999999999999,500,5000
0.05,5000,0.01,0.25,0.1,0.0495820887808233,0.05307152021459759,0.5806348707886088,0.44849644219644386,0.4987654320987654,0.38837402646937624,2669.537345679012,3169.537345679012,0.6339074691358024,0.8891975308641976,324,3240
0.05,5000,0.01,0.25,0.25,0.045573006067982716,0.045698503885092764,0.4965978810325049,0.47815714551333494,0.37575757575757573,0.3626043189092598,1910.600606060606,3160.600606060606,0.6321201212121212,0.8606060606060606,165,1650
0.05,5000,0.01,0.25,0.5,0.025755187263855013,0.040320544091307114,0.2134928862846044,0.3971674583308894,0.10740740740740741,0.192005460511145,600.5370370370371,3100.537037037037,0.6201074074074073,0.8777777777777778,27,270
0.05,5000,0.01,0.25,0.75,0.0010120013143225248,0.005359179871980358,0.06730122044452441,0.12243536522306316,0.025,0.05,377.325,4127.325,0.8254649999999999,0.775,4,40
0.05,5000,0.01,0.25,0.9,0.0023121461372396,,6.523219429048648e-05,,0.0,,1.0,4501.0,0.9002000000000001,1.0,1,10
0.05,5000,0.01,0.5,0.1,0.0487630957609356,0.04383866768320163,0.3938282821398168,0.474222735126066,0.33,0.4007257944338613,1688.2588,2188.2587999999996,0.43765175999999995,0.9278,500,5000
0.05,5000,0.01,0.5,0.25,0.04826737875019384,0.0279947709271465,0.24424151979845796,0.4237244456640942,0.19119999999999998,0.32884470145549066,859.1274000000001,2109.1274,0.42182548,0.938,500,5000
0.05,5000,0.01,0.5,0.5,0.04924694638400317,0.018929685736629898,0.024705209513047936,0.15249638303826274,0.028041237113402062,0.09936408524453348,63.37092783505154,2563.370927835051,0.5126741855670102,0.9888659793814434,485,4850
0.05,5000,0.01,0.5,0.75,0.02792622028218998,0.009322462351947409,0.0015202904487268234,0.010870118706774725,0.009615384615384616,0.03273675755166149,16.417307692307695,3766.417307692308,0.7532834615384615,0.9913461538461538,104,1040
0.05,5000,0.01,0.5,0.9,0.01379779225417596,0.0062944326735550815,0.0008109885412937923,0.0029012798917335664,0.006666666666666667,0.025819888974716113,1.68,4501.679999999999,0.900336,1.0,15,150
0.05,5000,0.01,0.75,0.1,0.04490967250758614,0.040627195567500156,0.5588887551933281,0.42450756794008776,0.4812889812889813,0.37369662615438265,2688.780873180873,3188.780873180873,0.6377561746361746,0.8954261954261954,481,4810
0.05,5000,0.01,0.75,0.25,0.04751819742884173,0.02834736120684195,0.5101960935187776,0.4005998859544163,0.4026,0.3270277270638332,2337.727,3587.727,0.7175454,0.8418,500,5000
0.05,5000,0.01,0.75,0.5,0.049823949480384704,0.021096927982242147,0.23404804353044945,0.3154302479580199,0.15380000000000002,0.19860626600839063,1333.8152,3833.8152,0.7667630400000001,0.798,500,5000
0.05,5000,0.01,0.75,0.75,0.050339442782183025,0.016092094958056333,0.0020837977685440154,0.0012767241803631733,0.009800000000000001,0.03042715272986436,1.0002,3751.0002000000004,0.7502000399999998,1.0,500,5000
0.05,5000,0.01,0.75,0.9,0.04966662923230109,0.013509816557713071,3.6153287038241914e-05,0.00020820641370402482,0.010833333333333334,0.0324267817179221,1.0,4501.0,0.9002000000000001,1.0,480,4800
0.05,5000,0.05,0.25,0.1,0.051263073785729425,0.05269344870948851,0.620278865056534,0.4228836020591041,0.6102150537634409,0.39926206458267727,2444.9564516129035,2944.9564516129035,0.5889912903225807,0.9741935483870967,372,3720
0.05,5000,0.05,0.25,0.25,0.05198973436297209,0.03748052942774857,0.6030433738200116,0.4724201974679707,0.5692607003891051,0.42677551701810407,1981.3081712062258,3231.3081712062253,0.646261634241245,0.9513618677042801,257,2570
