theta,N,alpha,lambda,psi,mean_theta_hat,sd_theta_hat,mean_z_hat,sd_z_hat,mean_b_hat,sd_b_hat,power,sd_outer_power,mean_seq_stopping_time,mean_total_stopping_time,mean_total_stopping_fraction,early_stop_prob,n_outer_success,n_inner_success
0.1,5000,0.05,0.5,0.9,0.10031486358484731,0.014582517355056206,-21.8328304985918,2.934675008007853,1e-05,0.0,0.04976,0.031052712311226027,1.0,4501.0,0.9002,1.0,500,25000
0.1,10000,0.05,0.5,0.1,0.10107815180320279,0.031557277521357466,7.907800494310279,3.0926020508268923,0.9858750683175393,0.11353666529869334,0.98624,0.11109701838928886,4323.4088,5323.4088,0.53234088,1.0,500,25000
0.1,10000,0.05,0.5,0.25,0.10063253637017244,0.020509336699354425,7.069143302084056,1.779041156466133,0.9997867065568887,0.0024712830491241773,0.99976,0.0030921712510940127,3931.49896,6431.49896,0.643149896,1.0,500,25000
0.1,10000,0.05,0.5,0.5,0.10002498438212958,0.01391638695685423,5.413754986796821,1.0793935457411705,0.9979327503002701,0.044721033578364607,0.9980399999999999,0.04205348250480049,3022.46716,8022.46716,0.802246716,1.0,500,25000
0.1,10000,0.05,0.5,0.75,0.10094247623703391,0.011580647843480578,2.9239296654784432,2.8607871918523196,0.9685958248047397,0.17053482932347258,0.97016,0.16157285035532395,1684.99856,9184.99856,0.9184998560000001,0.99972,500,25000
0.1,10000,0.05,0.5,0.9,0.10010304898130913,0.010459790899943644,-30.134680822701633,2.976908678363186,1e-05,0.0,0.05208,0.03169989537417224,1.0,9001.0,0.9001,1.0,500,25000
0.1,50000,0.05,0.5,0.1,0.09937504817012263,0.013930554881357827,19.43577750559859,2.955116946689843,0.99999,0.0,1.0,0.0,11323.86196,16323.86196,0.3264772392,1.0,500,25000
0.1,50000,0.05,0.5,0.25,0.09925498669544792,0.008860194050079682,17.57579189802396,1.7157692000062308,0.99999,0.0,1.0,0.0,10236.95624,22736.95624,0.45473912479999995,1.0,500,25000
0.1,50000,0.05,0.5,0.5,0.0999738231227164,0.006067450612656854,14.162395746178085,0.9593481763289858,0.99999,0.0,1.0,0.0,8149.65752,33149.65752,0.6629931504,1.0,500,25000
0.1,50000,0.05,0.5,0.75,0.10014710963831565,0.0049663375498558105,9.55193361811844,0.5552534180343679,0.99999,0.0,0.9999600000000001,0.0008944271909999206,5430.0398399999995,42930.039840000005,0.8586007968,1.0,500,25000
0.1,50000,0.05,0.5,0.9,0.0999065480342033,0.004726347952556725,5.419597712827887,0.33421610023398046,0.99999,0.0,1.0,0.0,3044.76792,48044.76792,0.9608953584,1.0,500,25000
0.5,1000,0.05,0.5,0.1,0.4947691551653516,0.10065364350589603,13.198214039192933,3.019632435723161,0.999988731065387,2.8374240536171804e-05,1.0,0.0,307.65340000000003,407.65340000000003,0.4076534,1.0,500,25000
0.5,1000,0.05,0.5,0.25,0.5019621880216064,0.06379454543523196,12.101947042751464,1.7470855790372235,0.99999,0.0,1.0,0.0,277.27076,527.27076,0.52727076,1.0,500,25000
0.5,1000,0.05,0.5,0.5,0.4987127261879092,0.04434793342689717,9.50670194303943,0.9916499380853733,0.99999,0.0,1.0,0.0,218.57528,718.57528,0.71857528,1.0,500,25000
0.5,1000,0.05,0.5,0.75,0.5003147082322995,0.03697054145787044,6.265815471746465,0.5845584441187972,0.99999,0.0,1.0,0.0,142.27384,892.27384,0.8922738400000001,1.0,500,25000
0.5,1000,0.05,0.5,0.9,0.5002257258800821,0.03572075494679325,1.6273257111645807,8.47205033416514,0.9592577516505167,0.19600406991047584,0.9608,0.18341494509490855,67.84876,967.84876,0.96784876,0.99772,500,25000
0.5,2000,0.05,0.5,0.1,0.4972264172395888,0.07176678581737285,19.450676657960827,3.044806854925614,0.99999,0.0,0.9999600000000001,0.0008944271909999208,454.58196000000004,654.58196,0.32729098,1.0,500,25000
